cidade_origem,latitude_origem,longitude_origem,hospital,cidade_hospital,latitude_hospital,longitude_hospital,telefone,endereco,distancia_km,soro,animal
Araçoiaba,-7.783911,-35.080897,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,35.974,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Arcoverde,-8.415192,-37.057748,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,0.861,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Barra de Guabiraba,-8.420751,-35.658544,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,39.786,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Barreiros,-8.816052,-35.183178,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,90.003,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Belo Jardim,-8.3313,-36.425822,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,50.7,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Belém de Maria,-8.625038,-35.83347,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,44.764,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Belém de São Francisco,-8.75046,-38.962255,Hospital Regional Inácio de Sá,Salgueiro,-8.058328948519646,-39.11302058865943,(87) 3276-1190,Rua Antonio de Alencar Sampaio 346 - Planalto,78.328,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Betânia,-8.267867,-38.03454,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,42.444,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Bezerros,-8.232796,-35.795995,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,19.637,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Bodocó,-7.777592,-39.933797,Hospital Regional Fernando Bezerra,Ouricuri,-7.88296157295859,-40.08426143368934,(87) 3874-4844,Rua Teobaldo Gomes Torres 8 - Centro,20.277,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Bom Conselho,-9.169191,-36.685683,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,92.039,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Bom Jardim,-7.796947,-35.578391,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,66.01,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Bonito,-8.471628,-35.729249,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,36.78,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Brejinho,-7.34694,-37.286493,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,121.657,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Brejo da Madre de Deus,-8.149333,-36.374142,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,45.37,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Brejão,-9.029146,-36.566034,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,86.003,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Buenos Aires,-7.724488,-35.318197,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,58.894,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Buíque,-8.619539,-37.160564,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,24.706,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Cabo de Santo Agostinho,-8.28218,-35.025293,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,28.927,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Cabrobó,-8.505484,-39.309384,Hospital Regional Inácio de Sá,Salgueiro,-8.058328948519646,-39.11302058865943,(87) 3276-1190,Rua Antonio de Alencar Sampaio 346 - Planalto,53.979,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Cachoeirinha,-8.486685,-36.240182,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,39.678,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Caetés,-8.780301,-36.626828,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,61.539,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Calumbi,-7.935515,-38.148244,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,17.619,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Calçado,-8.731081,-36.336554,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,66.959,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Camaragibe,-8.023505,-34.978152,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,9.418,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Camocim de São Félix,-8.358649,-35.765332,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,26.17,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Camutanga,-7.405449,-35.26636,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,82.368,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Canhotinho,-8.876519,-36.197935,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,74.058,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Capoeiras,-8.734225,-36.630566,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,58.062,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Carnaubeira da Penha,-8.317994,-38.751155,Hospital Regional Inácio de Sá,Salgueiro,-8.058328948519646,-39.11302058865943,(87) 3276-1190,Rua Antonio de Alencar Sampaio 346 - Planalto,49.14,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Carnaíba,-7.793421,-37.794584,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,59.657,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Carpina,-7.84566,-35.251397,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,45.218,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Caruaru,-8.284547,-35.969863,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,4.376,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Casinhas,-7.740839,-35.720635,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,62.37,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Catende,-8.675086,-35.702386,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,56.16,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Cedro,-7.71179,-39.236733,Hospital Regional Inácio de Sá,Salgueiro,-8.058328948519646,-39.11302058865943,(87) 3276-1190,Rua Antonio de Alencar Sampaio 346 - Planalto,40.681,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Chã Grande,-8.238271,-35.457148,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,56.928,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Chã de Alegria,-8.006795,-35.204002,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,34.108,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Condado,-7.587868,-35.09994,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,56.086,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Correntes,-9.121174,-36.324435,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,104.287,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Cortês,-8.474434,-35.546789,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,53.432,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Cumaru,-8.008266,-35.695748,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,40.317,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Cupira,-8.624324,-35.951835,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,42.003,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Custódia,-8.08546,-37.64428,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,72.945,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Dormentes,-8.441163,-40.766168,Hospital Regional Fernando Bezerra,Ouricuri,-7.88296157295859,-40.08426143368934,(87) 3874-4844,Rua Teobaldo Gomes Torres 8 - Centro,97.253,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Escada,-8.356717,-35.224082,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,49.148,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Exu,-7.50364,-39.723789,Hospital Regional Fernando Bezerra,Ouricuri,-7.88296157295859,-40.08426143368934,(87) 3874-4844,Rua Teobaldo Gomes Torres 8 - Centro,57.805,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Feira Nova,-7.947042,-35.38013,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,54.421,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Fernando de Noronha,-3.839601,-32.410733,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,541.259,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Ferreiros,-7.446664,-35.237252,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,76.82,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Flores,-7.85842,-37.971511,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,38.867,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Floresta,-8.603066,-38.568675,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,74.159,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Frei Miguelinho,-7.939179,-35.911283,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,34.536,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Gameleira,-8.579803,-35.384573,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,74.703,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Garanhuns,-8.882434,-36.496567,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,79.779,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Glória do Goitá,-8.005675,-35.29044,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,43.566,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Goiana,-7.560603,-34.99591,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,55.553,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Granito,-7.707105,-39.615034,Hospital Regional Fernando Bezerra,Ouricuri,-7.88296157295859,-40.08426143368934,(87) 3874-4844,Rua Teobaldo Gomes Torres 8 - Centro,55.288,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Gravatá,-8.211184,-35.567458,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,44.928,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Iati,-9.045586,-36.849763,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,72.522,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Ibimirim,-8.54026,-37.703214,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,72.562,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Ibirajuba,-8.576331,-36.181151,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,43.162,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Igarassu,-7.82881,-34.901306,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,24.837,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Iguaraci,-7.832221,-37.508199,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,82.199,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Ilha de Itamaracá,-7.747664,-34.830319,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,34.626,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Inajá,-8.902058,-37.835124,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,100.929,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Ingazeira,-7.669089,-37.457575,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,94.404,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Ipojuca,-8.393034,-35.060864,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,41.626,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Ipubi,-7.645048,-40.147571,Hospital Regional Fernando Bezerra,Ouricuri,-7.88296157295859,-40.08426143368934,(87) 3874-4844,Rua Teobaldo Gomes Torres 8 - Centro,27.223,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Itacuruba,-8.822306,-38.697504,Hospital Regional Inácio de Sá,Salgueiro,-8.058328948519646,-39.11302058865943,(87) 3276-1190,Rua Antonio de Alencar Sampaio 346 - Planalto,96.089,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Itambé,-7.414027,-35.096266,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,74.007,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Itapetim,-7.371777,-37.186266,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,117.099,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Itapissuma,-7.767983,-34.897136,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,31.561,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Itaquitinga,-7.663729,-35.100231,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,48.513,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Itaíba,-8.945688,-37.417266,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,70.277,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Jaboatão dos Guararapes,-8.112982,-35.014959,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,14.466,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Jaqueira,-8.726183,-35.794232,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,56.754,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Jataúba,-7.976684,-36.494292,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,64.595,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Jatobá,-9.174761,-38.260651,Hospital Regional Professor Agamenon Magalhães,Serra Talhada,-7.988750927889709,-38.298863653346295,(87) 3831-9600,Rua Comandante Superior 955 - Nossa Senhora da Penha,131.239,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Joaquim Nabuco,-8.62281,-35.528814,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,64.387,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
João Alfredo,-7.865649,-35.578715,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,60.484,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Jucati,-8.701945,-36.487137,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,69.732,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Jupi,-8.709041,-36.412644,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,70.477,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Jurema,-8.707135,-36.134739,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,54.079,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Lagoa Grande,-8.994525,-40.276732,Hospital Universitário de Petrolina (HU-UNIVASF),Petrolina,-9.39235484268768,-40.495606654821415,(87) 2101-6501/6526,Avenida José de Sá Maniçoba s/n - Centro,50.147,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Lagoa do Carro,-7.843834,-35.310783,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,51.058,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Lagoa do Itaenga,-7.930053,-35.287387,Hospital da Restauração,Recife,-8.05335858377205,-34.89814075113761,0800-7226001/(81) 3181-6453,Avenida Gov. Agamenon Magalhães s/n - Derby,45.027,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Lagoa do Ouro,-9.125668,-36.458373,Hospital e Policlínica Rui de Barros Correia,Arcoverde,-8.422456053716937,-37.05492984556602,(87) 3821-8296,Avenida Agamenon Magalhães s/n - São Miguel,101.77,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
Lagoa dos Gatos,-8.660205,-35.903976,Hospital Mestre Vitalino,Caruaru,-8.245171504821428,-35.973794851893615,(81) 3725-7750,Avenida Amazonas 175 - Bairro Universitário,46.541,Soro Antibotrópico (SAB) -  Jararaca. Jararacuçu,Serpente (cobra)
